split,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,all,304,0.005217705053024032,0.004073149889533283,-0.6965639239166215,1.0,1.7154423549161322
train,yN,304,0.006861472580802414,0.005767875301994775,-0.5869090306131464,1.0,1.832022842608
train,yF,304,0.005044863560566786,0.0040068309754133224,-0.8453125326257003,1.0,1.4187088012695312
train,yT,304,0.009545332162939072,0.006290819888052188,-1.4434574528744346,1.0,0.7866417608763042
train,sigma_N,304,0.0010297892230842415,0.0008741618918353005,-0.2667408648290132,1.0,2.521551257685611
train,sigma_F,304,0.001237030119388952,0.0010968225664998357,-0.5764245861455014,1.0,1.8527785602368807
train,sigma_T,304,0.0012089980355558545,0.0009797325504845695,-0.553559566798963,1.0,1.8950982595744885
train,delta_yN,304,0.00586192887335679,0.004595683642516011,-0.8272880253038908,1.0,1.4435210478933234
train,delta_yF,304,0.006687038607250176,0.005245995560758992,-0.6799290054722836,1.0,1.6707746104190224
train,delta_yT,304,0.009482892314271997,0.00780042662824455,-0.4894542505866603,1.0,2.017884053682026
validation,all,304,0.005353091192057278,0.0040853341131836,-0.7047938871801945,1.0,1.702928968340333
validation,yN,304,0.006976971361001561,0.005624444076889439,-0.5942247666810688,1.0,1.8185290788349353
validation,yF,304,0.005429717643425091,0.004315054681348174,-0.8545816321122018,1.0,1.405382005791915
validation,yT,304,0.009346839389459412,0.005658151091713654,-1.4614724109047337,1.0,0.772309190348575
validation,sigma_N,304,0.0012129628027511517,0.0010648023974346487,-0.27031105756759644,1.0,2.5125131105121814
validation,sigma_F,304,0.0012750756442849358,0.0010289314055913373,-0.5843367137407002,1.0,1.8379871217828048
validation,sigma_T,304,0.0012885194738466524,0.0010603840315812512,-0.5592904028139616,1.0,1.8841311304192794
validation,delta_yN,304,0.004998240099522412,0.0038176020607352257,-0.8375685089512875,1.0,1.428547231774581
validation,delta_yF,304,0.007265250725317448,0.005699684304234229,-0.6876422229566073,1.0,1.6577984659295333
validation,delta_yT,304,0.010384243588906834,0.008498952969124443,-0.49371726889359324,1.0,2.0091633796691895
test,all,304,0.005086889934105291,0.003944225489483243,-0.6973448434071234,1.0,1.7140866483164112
test,yN,304,0.006658719982119791,0.005828534988196273,-0.5882578460793746,1.0,1.8294518621344316
test,yF,304,0.005325751020183861,0.0041272641208611035,-0.8439969389062179,1.0,1.420336597844174
test,yT,304,0.008640950615192138,0.005174403520006882,-1.4458910791497481,1.0,0.7844382963682476
test,sigma_N,304,0.0010539641577747257,0.0008765335047715588,-0.2669986737401862,1.0,2.52083999232242
test,sigma_F,304,0.0010935786907689594,0.0009243133919019448,-0.5771866723110801,1.0,1.85117591054816
test,sigma_T,304,0.0010750163446839088,0.0008869375053204988,-0.5530664481614765,1.0,1.8958855177226819
test,delta_yN,304,0.006061999772186995,0.004870961126136153,-0.8284969831767836,1.0,1.4415294998570491
test,delta_yF,304,0.007717290112696319,0.005965614740393664,-0.6808423368554366,1.0,1.669053554534912
test,delta_yT,304,0.00815473871134092,0.006843466507761102,-0.49136661228380707,1.0,2.014068603515625
