split,horizon_months,target,rows,rmse,mae,nll,interval_90_coverage,interval_90_mean_width
train,1,all,56,0.009867169543375291,0.007873821685770674,-0.3003095390186423,1.0,2.4687092758360363
train,1,yN,56,0.01362010027096735,0.012529040553740092,-0.30603534834725515,1.0,2.4256196532930647
train,1,yF,56,0.008081062166052989,0.006380485370755196,-0.3152440956660679,1.0,2.4005188260759627
train,1,yT,56,0.012780122461856445,0.00913097390106746,-0.3092345723084041,1.0,2.4148846524102345
train,1,sigma_N,56,0.0013085878878077027,0.001083542193685259,-0.3196116494280951,1.0,2.39115377834865
train,1,sigma_F,56,0.0015391852283938828,0.0014074656314083508,-0.32760533903326305,1.0,2.3724670239857266
train,1,sigma_T,56,0.0010609055430243059,0.0008181207148092133,0.05724125089389937,1.0,3.483957426888602
train,1,delta_yN,56,0.01777941143592368,0.015312496306640761,-0.2634514548948833,1.0,2.527978147779192
train,1,delta_yF,56,0.010837866908177252,0.009080888503896338,-0.3157196023634502,1.0,2.4020876373563493
train,1,delta_yT,56,0.021797283988174012,0.015121381995933396,-0.6031250400202615,1.0,1.7997163363865443
train,2,all,48,0.012482662200520174,0.009756527711740797,-0.36060583025768955,1.0,2.337176938851675
train,2,yN,48,0.01416269889631069,0.011475830028454462,-0.36839398741722107,1.0,2.280621329943339
train,2,yF,48,0.00997136124390788,0.008346258041759333,-0.36174362401167554,1.0,2.291232148806254
train,2,yT,48,0.020891287122043793,0.01518028105298678,-0.3516591389973958,1.0,2.3140422304471335
train,2,sigma_N,48,0.0026148567273254343,0.002166247616211573,-0.4050833582878113,1.0,2.1958975791931152
train,2,sigma_F,48,0.0030756428072366113,0.002813844010233879,-0.4093802471955617,1.0,2.1855759620666504
train,2,sigma_T,48,0.0021199306924657695,0.0016356096602976322,0.06790570045510928,1.0,3.5213492711385093
train,2,delta_yN,48,0.019169209035741003,0.016089916229248047,-0.3297695716222127,1.0,2.365608294804891
train,2,delta_yF,48,0.015548787291882037,0.012728907711183032,-0.37739917635917664,1.0,2.2627185583114624
train,2,delta_yT,48,0.024790185987768342,0.017371855055292446,-0.7099290688832601,1.0,1.617547074953715
train,3,all,40,0.016600790231644864,0.013168838020000191,-0.42432508816321696,1.0,2.2080198989974127
train,3,yN,40,0.021272882768033054,0.018605319410562517,-0.4321343541145325,1.0,2.138576602935791
train,3,yF,40,0.024430402771113285,0.021880557015538215,-0.4047495603561401,1.0,2.19384651184082
train,3,yT,40,0.02732591526366202,0.01970180422067642,-0.3987938642501831,1.0,2.206619310379028
train,3,sigma_N,40,0.003919714939952295,0.0032486189156770706,-0.49693057537078855,1.0,2.0042656898498534
train,3,sigma_F,40,0.004610440239060316,0.004219787567853928,-0.48626788854599,1.0,2.023180341720581
train,3,sigma_T,40,0.0031778119289513234,0.002452845685184002,0.08073077350854874,1.0,3.566865396499634
train,3,delta_yN,40,0.024485121283311553,0.017750760540366173,-0.40126051008701324,1.0,2.2016927719116213
train,3,delta_yF,40,0.019281700740028905,0.01572927013039589,-0.4588923275470734,1.0,2.0875775098800657
train,3,delta_yT,40,0.020903122150691053,0.014930578693747521,-0.82062748670578,1.0,1.4495549559593202
train,0,all,144,0.013080893003625492,0.00997222823171336,-0.3548570664162621,1.0,2.3524514477194094
train,0,yN,144,0.016269808211353702,0.01386582561665111,-0.3618490629725986,1.0,2.297552698188358
train,0,yF,144,0.014977605742972178,0.011341318384640746,-0.3556065675285127,1.0,2.306680957476298
train,0,yT,144,0.02040632282414578,0.014083751373820834,-0.34825367563300663,1.0,2.3234190278583102
train,0,sigma_N,144,0.0026856873328802294,0.0020458542017473113,-0.39735747625430423,1.0,2.218599465158251
train,0,sigma_F,144,0.0031589546990096447,0.002657458962251743,-0.39893657217423123,1.0,2.2131459249390497
train,0,sigma_T,144,0.0021773547167072927,0.001544707299520572,0.06732093480726083,1.0,3.5194513665305243
train,0,delta_yN,144,0.020296564526872476,0.01624893190132247,-0.3238377869129181,1.0,2.3832200368245444
train,0,delta_yF,144,0.015150585152734852,0.01214366758035289,-0.376049661801921,1.0,2.268267353375753
train,0,delta_yT,144,0.022605153825953274,0.01581853876511256,-0.6991437292761273,1.0,1.6417261991235945
validation,1,all,56,0.010247785580911842,0.008307184196180768,-0.30505187283196145,1.0,2.458185451371329
validation,1,yN,56,0.016415290874165347,0.015146738716534205,-0.3102817279951913,1.0,2.4150149481637135
validation,1,yF,56,0.01268328656133266,0.011849387415817805,-0.32234263845852446,1.0,2.3832058565957204
validation,1,yT,56,0.013005433566761215,0.0100704197372709,-0.3121028606380735,1.0,2.4078579119273593
validation,1,sigma_N,56,0.0010964328530270243,0.000990273297897407,-0.32378843426704407,1.0,2.3809418848582675
validation,1,sigma_F,56,0.0013552135020571568,0.0011945768658603942,-0.3322345401559557,1.0,2.3613841022763933
validation,1,sigma_T,56,0.0017005075877717627,0.0015061453783086368,0.06081646095429148,1.0,3.496408769062587
validation,1,delta_yN,56,0.013516422553799791,0.011154119590563434,-0.2678763334240232,1.0,2.516975930758885
validation,1,delta_yF,56,0.010443700296522527,0.007664139914725508,-0.32479688950947355,1.0,2.3800578117370605
validation,1,delta_yT,56,0.02201378243276909,0.015188856848648616,-0.6128598919936589,1.0,1.781821846961975
validation,2,all,48,0.013291895645970888,0.010675496352767504,-0.36573564330184904,1.0,2.3266339081305047
validation,2,yN,48,0.01828329236823189,0.015922357017795246,-0.37267155945301056,1.0,2.27039498090744
validation,2,yF,48,0.013625624590762461,0.01184044343729814,-0.36919885377089184,1.0,2.2738840182622275
validation,2,yT,48,0.021810730078533323,0.017251065621773403,-0.35472040871779126,1.0,2.306777616341909
validation,2,sigma_N,48,0.002190922432119236,0.0019797817803919315,-0.4098615845044454,1.0,2.1851067543029785
