claim_id,chapter,section,claim_text,claim_status,cohort,estimand,artifact_path,row_filter,metric,value,denominator,authority_commit,limitation,allowed_wording,forbidden_wording
C01_fresh_surface,III,Evaluation surface,"V2 evaluated 2,286 origins from 137 WQP monitoring locations unused by V1.",confirmatory_available,fresh_primary,intent_to_predict,reports/closure_v2/01_surface/locked_evaluation_input_manifest.json,evaluation_cohort=fresh_primary,location/origin counts,137;2286,"6,858 origin-horizon attempts",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Internal WQP monitoring locations, not external or unseen-waterbody validation.",internal evaluation on WQP monitoring locations unused by V1,external validation; unseen waterbodies
C02_legacy_surface,III,Evaluation surface,The 88 V1 holdout locations were reused only as retrospective complementary evidence.,posthoc_available,legacy_posthoc,intent_to_predict,reports/closure_v2/04_evaluation/evaluation_manifest.json,evaluation_cohort=legacy_posthoc,origin count,4488,"13,464 origin-horizon attempts",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Outcomes were previously opened in V1.,retrospective complementary analysis,new confirmation; prospective validation
C03_shared_fit,III,Eligibility,"P0 and P1 used the same 8,925 complete-case fit rows for every registered seed.",descriptive_available,development,complete_case_shared_fit,reports/closure_v2/01_surface/eligibility_counts.csv,all model_id/base_seed rows,shared_fit_eligible_rows,8925,"9,413 fit-intent rows; 9,732 total intent origins",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Claims are conditional on the eligible development subpopulation.,exact shared complete-case fit,all intended rows entered model loss
C04_model_availability,IV,Model availability,All five P0 and five P1 slots were trained and calibrated without replacement.,confirmatory_available,development,registered_seed_family,reports/closure_v2/03_calibration/model_availability.csv,status=available,available model slots,10/10,5 P0 plus 5 P1 slots,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Seeds are algorithmic slots, not ecological replicates.",five registered slots per family,five independent ecological replications
C05_p1_vs_b2,IV,Primary benchmark,P1 was inferior to B2 for observation-weighted Brier and PR-AUC at h1-h3 on fresh-primary.,confirmatory_available,fresh_primary,observation_weighted,reports/closure_v2/05_inference/pairwise_effects.csv,comparison_id=P1_vs_B2; cohort=fresh_primary; estimand=observation_weighted,paired Brier/PR-AUC difference,h1:brier:inferior:0.030238|h1:pr_auc:inferior:-0.281903|h2:brier:inferior:0.023510|h2:pr_auc:inferior:-0.158414|h3:brier:inferior:0.024347|h3:pr_auc:inferior:-0.152660,966|933|885 shared rows,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Internal fresh WQP evidence only; no universal model ranking.,P1 was inferior on the registered fresh-primary contrasts,P1 is universally inferior; external validation
C06_p1_vs_p0,IV,Primary benchmark,"Against P0 on fresh-primary, P1 Brier was inconclusive and P1 PR-AUC was inferior at h1-h3.",confirmatory_available,fresh_primary,observation_weighted,reports/closure_v2/05_inference/pairwise_effects.csv,comparison_id=P1_vs_P0; cohort=fresh_primary; estimand=observation_weighted,paired Brier/PR-AUC difference,h1:brier:inconclusive:0.002056|h1:pr_auc:inferior:-0.044976|h2:brier:inconclusive:0.002107|h2:pr_auc:inferior:-0.070791|h3:brier:inconclusive:0.003126|h3:pr_auc:inferior:-0.045134,966|933|885 shared rows,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"This tests predictive utility of adaptive state, not interpretability or equivalence.",no fresh-primary advantage for P1 over P0,P0 and P1 are equivalent; ANFIS is uninterpretable
C07_legacy_p1_p0,IV,Complementary benchmark,P1 was descriptively favorable to P0 in the legacy-posthoc layer.,posthoc_available,legacy_posthoc,observation_weighted and site_weighted,reports/closure_v2/05_inference/pairwise_effects.csv,comparison_id=P1_vs_P0; cohort=legacy_posthoc,paired Brier/PR-AUC difference,favorable in 12/12 rows,published shared-success rows/clusters per row,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Retrospective evidence cannot overturn the fresh-primary negative result.,retrospective complementary favorable contrast,independent confirmation
C08_thresholds,IV,Sensitivity,"Results were reported at predeclared 25, 30, 33 and 50 ug/L cutoffs without recalibration.",descriptive_available,fresh_primary|legacy_posthoc,separate by cohort,reports/closure_v2/04_evaluation/threshold_sensitivity.csv,all rows,threshold sensitivity,25;30;33;50,rows published per model/horizon/cutoff,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,"Thresholds are project endpoints, not official ecological standards.",predeclared threshold sensitivity,official threshold recommendation
C09_uncertainty,IV,Uncertainty,"Interval diagnostics are available by model, cohort and horizon.",descriptive_available,fresh_primary|legacy_posthoc,separate observation/site estimands,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,aggregation_level=family,PICP/MPIW/Winkler,model-specific,rows and locations published per row,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,No global calibration guarantee follows.,model/cohort/horizon-specific interval diagnostics,universally calibrated uncertainty
C10_degradation,IV,Robustness,M0-P1 degradation became estimable on identical deterministic masks without a universal crossover.,descriptive_available,fresh_primary|legacy_posthoc,separate by cohort and estimand,reports/closure_v2/06_degradation/pairwise_effects.csv,aggregation_level=family_mean_over_registered_seeds,AUPD and paired degradation effects,estimable; no universal crossover,registered scenario/horizon rows,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Only simulated missingness was evaluated.,robustness under simulated missingness,field robustness guarantee
C11_planning,IV,Planning,No registered planning action exceeded no_action on the fresh-primary objective after cost/support penalties.,confirmatory_available,fresh_primary,observation_weighted_pooled_h1_h3,reports/closure_v2/07_planning/planning_bootstrap.csv,evaluation_cohort=fresh_primary,delta_objective_vs_no_action,clarity_mild:-0.073019|clarity_strong:-0.141055|nutrient_clarity_mild:-0.134360|nutrient_clarity_strong:-0.198365|oxygen_support_05:-0.027898|tn_reduction_10:-0.040144|tp_reduction_10:-0.051709|tp_reduction_25:-0.123290|tp_tn_reduction_10:-0.101181,"9 actions; 6,858 intended rows/action",e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Raw-proxy simulation is not causal decision evidence.,no positive evidence for the simulated planning objective,no action works; official recommendation; causal effect
C12_v1_boundary,V,Evidence provenance,Closure V1 remains immutable and V2 does not retroactively replace its unavailable P0/P1 result.,descriptive_available,V1_frozen|V2_additive,not_applicable,reports/closure_v2/08_synthesis/THESIS_TABLES/T12_v1_v2_evidence_boundary.csv,all rows,evidence boundary,V1 frozen; V2 additive,130 V1 closure rows plus V2 evidence,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Results belong to different freezes and surfaces.,V2 resolves a new additive experiment,V1 secretly trained P0/P1; retroactive correction
C13_gru_wording,V,Model identity,"P0 and P1 are residual probabilistic GRUs over engineered states, not canonical GRU-D.",descriptive_available,development|evaluation,model_family,configs/closure_v2/analysis_plan.yaml,models.labels,model identity,residual probabilistic GRU,2 model families,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Masks and learned temporal decay required for canonical GRU-D were not implemented.,residual probabilistic GRU,canonical GRU-D
