source_id,split,horizon_months,rows,sites,bloom_positive,target_risk_chla_mean,origin_panel_matched_rows,current_chla_forbidden_present_rows,any_nutrient_rows,both_nutrients_rows,nutrient_ratio_rows,temperature_rows,light_proxy_rows,physicochemical_rows,precursor_ready_rows,mean_nonseason_exogenous_groups,origin_min,origin_max,target_min,target_max,high,low,medium,season_only,high_rate,medium_rate,low_rate,season_only_rate,origin_panel_matched_rate,current_chla_forbidden_present_rate,any_nutrient_rate,both_nutrients_rate,nutrient_ratio_rate,temperature_rate,light_proxy_rate,physicochemical_rate,precursor_ready_rate,bloom_rate
aquamatch_chla,test,1,66226,8829,7782,0.2918601194806932,0,66226,0,0,0,0,0,0,0,0.0,2022-01,2024-05,2022-02,2024-06,0,0,0,66226,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11750671941533537
aquamatch_chla,test,2,65117,10261,7790,0.29456208541013795,0,65117,0,0,0,0,0,0,0,0.0,2022-01,2024-04,2022-03,2024-06,0,0,0,65117,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1196308183730823
aquamatch_chla,test,3,55831,9332,6689,0.29690620806794676,0,55831,0,0,0,0,0,0,0,0.0,2022-01,2024-03,2022-04,2024-06,0,0,0,55831,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11980799197578407
aquamatch_chla,train,1,901569,43288,123570,0.33225049780022764,0,901569,0,0,0,0,0,0,0,0.0,1970-01,2018-11,1970-02,2018-12,0,0,0,901569,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13706105689082035
aquamatch_chla,train,2,892319,46508,121212,0.3292120360685746,0,892319,0,0,0,0,0,0,0,0.0,1970-01,2018-10,1970-03,2018-12,0,0,0,892319,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13583931307077401
aquamatch_chla,train,3,821392,43855,111147,0.32932399625855313,0,821392,0,0,0,0,0,0,0,0.0,1970-01,2018-09,1970-04,2018-12,0,0,0,821392,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1353154157819896
aquamatch_chla,validation,1,110443,12420,12376,0.2924755269545998,0,110443,0,0,0,0,0,0,0,0.0,2019-01,2021-11,2019-02,2021-12,0,0,0,110443,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11205780357288375
aquamatch_chla,validation,2,106736,13687,12013,0.2900845761484633,0,106736,0,0,0,0,0,0,0,0.0,2019-01,2021-10,2019-03,2021-12,0,0,0,106736,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125487183330835
aquamatch_chla,validation,3,94463,12937,10450,0.28853708489868835,0,94463,0,0,0,0,0,0,0,0.0,2019-01,2021-09,2019-04,2021-12,0,0,0,94463,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11062532420100991
lakebed_us_cse,test,1,163,14,22,0.36772311680791847,142,156,63,60,60,142,95,141,63,2.705521472392638,2022-01,2023-11,2022-02,2023-12,63,79,0,21,0.38650306748466257,0.0,0.48466257668711654,0.12883435582822086,0.8711656441717791,0.9570552147239264,0.38650306748466257,0.36809815950920244,0.36809815950920244,0.8711656441717791,0.5828220858895705,0.8650306748466258,0.38650306748466257,0.13496932515337423
