evaluation_cohort,model_id,base_seed,aggregation_level,horizon_months,coverage_nominal,rows,picp,mpiw,winkler,status,interval_method,inference_performed,artifact_path,authority_commit,limitation
fresh_primary,A0,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,A0,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,A0,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,A1,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,A1,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,A1,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,B1,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,B1,-1,family,2,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,B1,-1,family,3,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
fresh_primary,B2,-1,family,1,0.9,0,,,,not_applicable,locked_statewise_split_conformal_propagated_to_irc,False,reports/closure_v2/04_evaluation/uncertainty_ledger.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Coverage is model/cohort/horizon specific and not a universal calibration guarantee.
