model_id,base_seed,compared_cells,max_abs_smd,flagged_cells,fit_rows,eligible_rows,noneligible_rows,converged,roc_auc_descriptive,artifact_path,authority_commit,limitation
P0,1729,1369,1.356151392,119,9413,8925,488,True,0.5903505993,reports/closure_v2/01_surface/eligibility_covariate_balance.csv|reports/closure_v2/01_surface/eligibility_model_diagnostics.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Eligibility diagnostics are descriptive and do not repair selection bias.
P0,314159,1369,1.356151392,119,9413,8925,488,True,0.5903505993,reports/closure_v2/01_surface/eligibility_covariate_balance.csv|reports/closure_v2/01_surface/eligibility_model_diagnostics.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Eligibility diagnostics are descriptive and do not repair selection bias.
P0,20260612,1369,1.356151392,119,9413,8925,488,True,0.5903505993,reports/closure_v2/01_surface/eligibility_covariate_balance.csv|reports/closure_v2/01_surface/eligibility_model_diagnostics.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Eligibility diagnostics are descriptive and do not repair selection bias.
P0,20260613,1369,1.356151392,119,9413,8925,488,True,0.5903505993,reports/closure_v2/01_surface/eligibility_covariate_balance.csv|reports/closure_v2/01_surface/eligibility_model_diagnostics.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Eligibility diagnostics are descriptive and do not repair selection bias.
P0,20260614,1369,1.356151392,119,9413,8925,488,True,0.5903505993,reports/closure_v2/01_surface/eligibility_covariate_balance.csv|reports/closure_v2/01_surface/eligibility_model_diagnostics.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Eligibility diagnostics are descriptive and do not repair selection bias.
P1,1729,1369,1.356151392,119,9413,8925,488,True,0.6008348257,reports/closure_v2/01_surface/eligibility_covariate_balance.csv|reports/closure_v2/01_surface/eligibility_model_diagnostics.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Eligibility diagnostics are descriptive and do not repair selection bias.
P1,314159,1369,1.356151392,119,9413,8925,488,True,0.599840428,reports/closure_v2/01_surface/eligibility_covariate_balance.csv|reports/closure_v2/01_surface/eligibility_model_diagnostics.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Eligibility diagnostics are descriptive and do not repair selection bias.
P1,20260612,1369,1.356151392,119,9413,8925,488,True,0.6011838178,reports/closure_v2/01_surface/eligibility_covariate_balance.csv|reports/closure_v2/01_surface/eligibility_model_diagnostics.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Eligibility diagnostics are descriptive and do not repair selection bias.
P1,20260613,1369,1.356151392,119,9413,8925,488,True,0.6006424209,reports/closure_v2/01_surface/eligibility_covariate_balance.csv|reports/closure_v2/01_surface/eligibility_model_diagnostics.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Eligibility diagnostics are descriptive and do not repair selection bias.
P1,20260614,1369,1.356151392,119,9413,8925,488,True,0.600083804,reports/closure_v2/01_surface/eligibility_covariate_balance.csv|reports/closure_v2/01_surface/eligibility_model_diagnostics.csv,e85990193ce2c97cbf7b2f200e8320fa05bbe5ac,Eligibility diagnostics are descriptive and do not repair selection bias.
