model_id,base_seed,scope,variable,variable_type,level,eligible_total,noneligible_total,eligible_observed,noneligible_observed,eligible_value,noneligible_value,pooled_sd,smd,abs_smd,effect_state,alert
P0,1729,all_development_intent,climatic_season,categorical,DJF,9227,505,9227,505,0.2569632599978324,0.24356435643564356,0.43311309361346556,0.030936269902167406,0.030936269902167406,estimable,False
P0,1729,all_development_intent,climatic_season,categorical,JJA,9227,505,9227,505,0.25468733066001953,0.2198019801980198,0.4250357420031535,0.08207627503886696,0.08207627503886696,estimable,False
P0,1729,all_development_intent,climatic_season,categorical,MAM,9227,505,9227,505,0.26259889454860735,0.2396039603960396,0.43349430082126195,0.05304552818573043,0.05304552818573043,estimable,False
P0,1729,all_development_intent,climatic_season,categorical,SON,9227,505,9227,505,0.2257505147935407,0.297029702970297,0.4379442192720816,-0.1627586003880387,0.1627586003880387,estimable,False
P0,1729,all_development_intent,delta_previous_month_missing,categorical,False,9227,505,9227,505,1.0,1.0,0.0,0.0,0.0,estimable,False
P0,1729,all_development_intent,historical_bloom_presence,categorical,False,9227,505,9227,505,0.17557169177414111,0.14257425742574256,0.3653718047188013,0.09031193409626709,0.09031193409626709,estimable,False
P0,1729,all_development_intent,historical_bloom_presence,categorical,True,9227,505,9227,505,0.8244283082258589,0.8574257425742574,0.3653718047188013,-0.090311934096267,0.090311934096267,estimable,False
P0,1729,all_development_intent,input_missing_channel_count,numeric,,9227,505,9227,505,0.0,13.0,0.0,,,complete_separation,True
P0,1729,all_development_intent,origin_delta_yF,numeric,,9227,505,9227,505,0.0010195371878910404,0.0031295092780370885,0.18146571547977253,-0.011627386939552451,0.011627386939552451,estimable,False
P0,1729,all_development_intent,origin_delta_yN,numeric,,9227,505,9227,505,-0.0018874624651067972,0.009205737127183282,0.13343900544392345,-0.08313311055778137,0.08313311055778137,estimable,False
P0,1729,all_development_intent,origin_delta_yT,numeric,,9227,505,9227,505,0.011250741196821967,0.01972478025396381,0.3005442483506621,-0.028195645412101508,0.028195645412101508,estimable,False
