model_id,model_seed,seed_slot,horizon_months,bin_id,row_count,mean_prediction,observed_frequency
A0,1729,1729,1,0,1,0.09399379342959685,0
A0,1729,1729,1,1,36,0.15137914197624411,0
A0,1729,1729,1,2,22,0.2659949497734731,0
A0,1729,1729,1,3,47,0.35131378245305184,0
A0,1729,1729,1,4,19,0.45122485607808011,0.052631578947368418
A0,1729,1729,1,5,27,0.56737252423750717,0.25925925925925924
A0,1729,1729,1,6,73,0.64864392058377363,0.68493150684931503
A0,1729,1729,1,7,104,0.75046707519088141,0.96153846153846156
A0,1729,1729,1,8,54,0.82858215442195249,0.94444444444444442
A0,1729,1729,2,1,33,0.16472057741722565,0
A0,1729,1729,2,2,19,0.26390475661928608,0
A0,1729,1729,2,3,40,0.35189323984187781,0
A0,1729,1729,2,4,27,0.43610763222100268,0.037037037037037035
A0,1729,1729,2,5,32,0.5677521029007444,0.28125
A0,1729,1729,2,6,80,0.65049321572460073,0.6875
A0,1729,1729,2,7,107,0.74902980663189811,0.96261682242990654
A0,1729,1729,2,8,40,0.82889222337483159,1
A0,1729,1729,3,0,1,0.085933238451545407,0
A0,1729,1729,3,1,32,0.15700408760532508,0
A0,1729,1729,3,2,22,0.26627233871671713,0
A0,1729,1729,3,3,39,0.35503778130984731,0
A0,1729,1729,3,4,22,0.44560975706784484,0.090909090909090912
A0,1729,1729,3,5,22,0.56605286012207479,0.31818181818181818
A0,1729,1729,3,6,68,0.65708139943816324,0.55882352941176472
A0,1729,1729,3,7,108,0.7519666701617328,0.95370370370370372
A0,1729,1729,3,8,54,0.82681621093391877,0.98148148148148151
A0,314159,314159,1,0,2,0.090268524221595953,0
A0,314159,314159,1,1,35,0.14197565922310895,0
A0,314159,314159,1,2,31,0.25329470590763281,0
A0,314159,314159,1,3,38,0.35246200995280336,0
A0,314159,314159,1,4,15,0.44704292386465472,0.066666666666666666
A0,314159,314159,1,5,24,0.56344250886612945,0.125
A0,314159,314159,1,6,52,0.65584760529875463,0.53846153846153844
A0,314159,314159,1,7,101,0.75823236527527926,0.94059405940594054
A0,314159,314159,1,8,85,0.83595462253200681,0.96470588235294119
A0,314159,314159,2,0,1,0.089596273446723926,0
A0,314159,314159,2,1,37,0.14245886648760595,0
A0,314159,314159,2,2,25,0.26587638399985591,0
A0,314159,314159,2,3,43,0.35546359012567852,0
A0,314159,314159,2,4,10,0.45471358697701092,0.10000000000000001
A0,314159,314159,2,5,24,0.56092305255536146,0.125
A0,314159,314159,2,6,64,0.65646004984082784,0.5625
A0,314159,314159,2,7,99,0.7643339907829183,0.96969696969696972
A0,314159,314159,2,8,75,0.83335962395006125,0.95999999999999996
A0,314159,314159,3,0,7,0.088758267273829114,0
A0,314159,314159,3,1,31,0.13998527875591099,0
A0,314159,314159,3,2,32,0.25172594991040648,0
A0,314159,314159,3,3,32,0.33885890605532515,0
A0,314159,314159,3,4,15,0.44541804766654547,0.13333333333333333
A0,314159,314159,3,5,20,0.57197456473385755,0.25
A0,314159,314159,3,6,40,0.6536984608585078,0.29999999999999999
A0,314159,314159,3,7,103,0.76018473991159174,0.95145631067961167
A0,314159,314159,3,8,88,0.83480940526524627,0.97727272727272729
A0,20260612,20260612,1,0,1,0.099628449663822907,0
A0,20260612,20260612,1,1,33,0.15474574303628552,0
A0,20260612,20260612,1,2,27,0.25827606442645967,0
A0,20260612,20260612,1,3,47,0.35665245704022114,0.021276595744680851
A0,20260612,20260612,1,4,12,0.45288791618192287,0
A0,20260612,20260612,1,5,22,0.5616950467313977,0.22727272727272727
A0,20260612,20260612,1,6,66,0.65216820611244142,0.5757575757575758
A0,20260612,20260612,1,7,101,0.75570671858612182,0.94059405940594054
A0,20260612,20260612,1,8,74,0.8337761131673298,0.94594594594594594
A0,20260612,20260612,2,1,33,0.16156964166208618,0
A0,20260612,20260612,2,2,24,0.25668373806837119,0
A0,20260612,20260612,2,3,36,0.34707690722296847,0
A0,20260612,20260612,2,4,24,0.43402566797698006,0.041666666666666664
A0,20260612,20260612,2,5,18,0.5633174504355859,0.27777777777777779
A0,20260612,20260612,2,6,63,0.65758627322050967,0.49206349206349204
A0,20260612,20260612,2,7,99,0.75975668294298648,0.9494949494949495
A0,20260612,20260612,2,8,81,0.83738706684701869,0.95061728395061729
A0,20260612,20260612,3,0,2,0.08660398478566228,0
A0,20260612,20260612,3,1,34,0.15379460106366546,0
A0,20260612,20260612,3,2,20,0.26915068046817431,0
A0,20260612,20260612,3,3,37,0.35164368474269042,0
A0,20260612,20260612,3,4,22,0.43038015700940857,0.090909090909090912
A0,20260612,20260612,3,5,15,0.55707199613206526,0.33333333333333331
A0,20260612,20260612,3,6,61,0.66155377937336701,0.49180327868852458
A0,20260612,20260612,3,7,96,0.75966440149681302,0.90625
A0,20260612,20260612,3,8,81,0.83372438696195428,0.97530864197530864
A0,20260613,20260613,1,0,6,0.091126233877336649,0
A0,20260613,20260613,1,1,39,0.14038271892755574,0
A0,20260613,20260613,1,2,32,0.24528794326508185,0
A0,20260613,20260613,1,3,28,0.3437643194611445,0
