phase,module,feature,membership_index,center,width
initial,ANFIS-N,tp_pressure,0,0.05000000074505806,0.25
initial,ANFIS-N,tp_pressure,1,0.5,0.25
initial,ANFIS-N,tp_pressure,2,0.949999988079071,0.25
initial,ANFIS-N,tn_pressure,0,0.05000000074505806,0.25
initial,ANFIS-N,tn_pressure,1,0.5,0.25
initial,ANFIS-N,tn_pressure,2,0.949999988079071,0.25
initial,ANFIS-N,ratio_imbalance_pressure,0,0.05000000074505806,0.25
initial,ANFIS-N,ratio_imbalance_pressure,1,0.5,0.25
initial,ANFIS-N,ratio_imbalance_pressure,2,0.949999988079071,0.25
initial,ANFIS-F,do_good,0,0.05000000074505806,0.25
initial,ANFIS-F,do_good,1,0.5,0.25
initial,ANFIS-F,do_good,2,0.949999988079071,0.25
initial,ANFIS-F,ph_good,0,0.05000000074505806,0.25
initial,ANFIS-F,ph_good,1,0.5,0.25
initial,ANFIS-F,ph_good,2,0.949999988079071,0.25
initial,ANFIS-F,turbidity_good,0,0.05000000074505806,0.25
initial,ANFIS-F,turbidity_good,1,0.5,0.25
initial,ANFIS-F,turbidity_good,2,0.949999988079071,0.25
initial,ANFIS-F,secchi_good,0,0.05000000074505806,0.25
initial,ANFIS-F,secchi_good,1,0.5,0.25
initial,ANFIS-F,secchi_good,2,0.949999988079071,0.25
initial,ANFIS-T-no-current,temp_favorable,0,0.05000000074505806,0.25
initial,ANFIS-T-no-current,temp_favorable,1,0.5,0.25
initial,ANFIS-T-no-current,temp_favorable,2,0.949999988079071,0.25
