mifal_observable_version,surface,source_id,site_id,origin_year_month,horizon_months,split,bloom_h,target_risk_chla_h,risk_interval_lo,risk_interval_hi,risk_conservative,uncertainty,interval_confidence,data_reliability,confidence,alert_class,observation_reliability,top_factor,recommended_sampling,payload_variables,has_Tw,has_TP,has_TN,has_Secchi,has_Turb,has_DOb,has_Chl,has_Chl_prev
mifal_observable_v0,observable_no_current_chla,wqp,wqp:TCEQMAIN-10642,2023-02,3,test,0,0.25500016954007104,0.0,0.6950129869075925,0.5733857141987638,0.6950129869075925,0.3049870130924075,0.049817181428300605,0.16009030322845372,high,0.0,Light,,"DOb,Secchi,TN",False,False,True,True,False,True,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:21FLORL_WQX-CAY DEE NORTH,2020-06,3,validation,0,0.0,0.0,0.6950129860633107,0.5733857135022313,0.6950129860633107,0.30498701393668926,0.053172870837447796,0.16060202451792185,high,0.0,Theta,,"DOb,Secchi,TP,Turb,Tw",True,True,False,True,True,True,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:OKWRB-LAKES_WQX-310840010020-01,2022-08,3,test,0,0.1287786347486035,0.0,0.6950129825684446,0.5733857106189668,0.6950129825684446,0.30498701743155543,0.046133850387185184,0.1595286214318883,high,0.0,Light,,"DOb,TP,Turb,Tw",True,True,False,False,True,True,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:21FLCBA_WQX-WAL-CAMPBELL-3,2020-06,3,validation,0,0.0,0.0,0.6950129655158558,0.573385696550581,0.6950129655158558,0.3049870344841442,0.04507665388743065,0.15936741473886995,high,0.0,Light,,"DOb,Secchi,TN,TP,Tw",True,True,True,True,False,True,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:21FLPOLK_WQX-CONFUSION1,2022-12,3,test,0,0.0,0.0,0.6950129580523194,0.5733856903931636,0.6950129580523194,0.30498704194768056,0.05744631218411933,0.16125371138575906,high,0.0,Light,,"DOb,Secchi,TP,Turb,Tw",True,True,False,True,True,True,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:21AWIC-23,2025-07,3,test,0,0.39044284395650636,0.0,0.6950129577508641,0.573385690144463,0.6950129577508641,0.30498704224913586,0.06581279946344358,0.16252954664981353,high,0.0,Theta,,"DOb,Secchi,TP,Turb,Tw",True,True,False,True,True,True,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:21FLORL_WQX-LAKE OF WOODS,2023-01,3,test,1,1.0,0.0,0.6950129534075836,0.5733856865612565,0.6950129534075836,0.3049870465924164,0.059004251374855966,0.1614912894778151,high,0.0,Theta,,"DOb,Secchi,TP,Turb,Tw",True,True,False,True,True,True,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:21FLORL_WQX-DOT,2022-11,3,test,0,0.0,0.0,0.6950129464980483,0.5733856808608899,0.6950129464980483,0.30498705350195165,0.06129459247005213,0.1618405553274979,high,0.0,Theta,,"DOb,Secchi,TP,Turb,Tw",True,True,False,True,True,True,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:21NC03WQ-LBR091B,2021-05,3,validation,1,1.0,0.0,0.6950129394431415,0.5733856750405917,0.6950129394431415,0.30498706055685854,0.05156660198993115,0.16035710346033655,high,0.0,Theta,,"DOb,TP,Turb,Tw",True,True,False,False,True,True,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-CHA-WF-3-2,2022-01,3,test,1,1.0,0.0,0.6950129137824572,0.5733856538705272,0.6950129137824572,0.3049870862175428,0.060524042281187906,0.16172306875949483,high,0.0,Light,,"Secchi,TN,TP",False,True,True,True,False,False,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-FLA-DISSTON-1,2023-07,3,test,0,0.0,0.0,0.695012902158657,0.573385644280892,0.695012902158657,0.30498709784134304,0.05185519732389228,0.16040113199057357,high,0.0,Light,,"Secchi,TN,TP",False,True,True,True,False,False,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-HIG-HUNTLEY-1,2019-07,3,validation,0,0.0,0.0,0.6950128963165991,0.5733856394611943,0.6950128963165991,0.3049871036834009,0.05099845228791473,0.16027048696951404,high,0.0,Light,,"Secchi,TN,TP",False,True,True,True,False,False,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-LAK-EMMA-2,2021-09,3,validation,0,0.0,0.0,0.6950128931547865,0.5733856368526988,0.6950128931547865,0.30498710684521346,0.05334541012451068,0.16062838457127968,high,0.0,Light,,"Secchi,TN,TP",False,True,True,True,False,False,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-ORA-JESSAMINN-2,2019-12,3,validation,0,0.43807317123063666,0.0,0.6950128924808108,0.5733856362966688,0.6950128924808108,0.3049871075191892,0.05390651570283465,0.16071394990991728,high,0.0,Light,,"Secchi,TN,TP",False,True,True,True,False,False,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-SEM-TONY-1,2020-02,3,validation,0,0.0,0.0,0.695012886939597,0.5733856317251675,0.695012886939597,0.30498711306040305,0.05195788478063932,0.16041679917018764,high,0.0,Light,,"Secchi,TN,TP",False,True,True,True,False,False,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:21FLKWAT_WQX-SAR-UPPERMYA-1,2022-01,3,test,0,0.43807317123063666,0.0,0.6950128525979773,0.5733856033933313,0.6950128525979773,0.3049871474020227,0.06233213521526206,0.16199882375640134,high,0.0,Nutrients,,"Secchi,TN,TP",False,True,True,True,False,False,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:MNPCA-02-0045-00-202,2021-05,3,validation,0,0.6847740481495457,0.0,0.6950127243574327,0.5733854975948819,0.6950127243574327,0.30498727564256733,0.07547100253995336,0.1640024855486205,high,0.0,Light,,"Secchi,TP",False,True,False,True,False,False,False,False
mifal_observable_v0,observable_no_current_chla,wqp,wqp:WIDNR_WQX-10056417,2021-05,3,validation,1,1.0,0.0,0.6950126486589183,0.5733854351436076,0.6950126486589183,0.3049873513410817,0.0768768766210198,0.16421691316055081,high,0.0,Nutrients,,TP,False,True,False,False,False,False,False,False
